utc_timestamp,load_actual_entsoe_transparency,load_forecast_entsoe_transparency,price_day_ahead
2015-01-01T00:15:00Z,5966.8,6692.23,61.72
2015-01-01T00:30:00Z,5935.6,6722.06,28.0
2015-01-01T00:45:00Z,5934.4,6689.71,15.68
2015-01-01T01:00:00Z,5750.8,6632.8,65.08
2015-01-01T01:15:00Z,5777.6,6572.9,54.18
2015-01-01T01:30:00Z,5745.6,6601.55,40.72
2015-01-01T01:45:00Z,5630.0,6564.09,20.4
2015-01-01T02:00:00Z,5407.2,6507.8,46.82
2015-01-01T02:15:00Z,5336.8,6467.87,39.38
2015-01-01T02:30:00Z,5289.6,6485.75,39.46
2015-01-01T02:45:00Z,5353.6,6465.44,36.46
2015-01-01T03:00:00Z,5284.8,6445.22,22.6
2015-01-01T03:15:00Z,5224.8,6447.32,24.78
2015-01-01T03:30:00Z,5230.0,6451.58,47.76
2015-01-01T03:45:00Z,5256.4,6470.99,58.2
2015-01-01T04:00:00Z,5280.4,6586.5,31.06
2015-01-01T04:15:00Z,5296.8,6635.17,29.68
2015-01-01T04:30:00Z,5308.4,6609.15,32.24
2015-01-01T04:45:00Z,5349.2,6604.07,45.94
2015-01-01T05:00:00Z,5419.6,6501.58,3.44
2015-01-01T05:15:00Z,5562.8,6551.41,20.16
2015-01-01T05:30:00Z,5606.0,6524.31,47.36
2015-01-01T05:45:00Z,5709.6,6595.58,67.32
2015-01-01T06:00:00Z,5899.6,6823.75,11.8
2015-01-01T06:15:00Z,5884.0,6883.01,25.22
2015-01-01T06:30:00Z,5933.6,6831.92,52.0
2015-01-01T06:45:00Z,5984.0,6866.38,53.9
2015-01-01T07:00:00Z,6186.0,7010.16,27.42
2015-01-01T07:15:00Z,6349.6,7058.95,28.22
2015-01-01T07:30:00Z,6348.4,7064.16,43.98
2015-01-01T07:45:00Z,6488.0,7111.87,44.62
2015-01-01T08:00:00Z,6675.2,7154.72,36.6
2015-01-01T08:15:00Z,6867.2,7237.49,35.4
2015-01-01T08:30:00Z,6959.2,7251.61,46.6
2015-01-01T08:45:00Z,7026.0,7286.27,44.2
2015-01-01T09:00:00Z,6900.8,7403.59,40.8
2015-01-01T09:15:00Z,6963.6,7462.28,40.96
2015-01-01T09:30:00Z,6976.8,7449.01,46.52
2015-01-01T09:45:00Z,7010.4,7488.58,51.5
2015-01-01T10:00:00Z,7085.6,7521.58,40.5
2015-01-01T10:15:00Z,7046.0,7580.27,53.36
2015-01-01T10:30:00Z,7082.4,7557.02,54.42
2015-01-01T10:45:00Z,7225.6,7527.52,52.84
2015-01-01T11:00:00Z,7218.4,7528.69,62.82
2015-01-01T11:15:00Z,7131.6,7442.56,56.18
2015-01-01T11:30:00Z,7077.6,7435.39,51.68
2015-01-01T11:45:00Z,7115.6,7408.78,33.54
2015-01-01T12:00:00Z,7066.0,7426.61,59.26
